url,tags,num_hashtags,emojis,num_special,num_excl_quest,text_all_clean,n_char,n_words,avg_len_words
1,0,1,0,0,0,no one ever predicted this was going to happen sarcasm,45.0,10.0,4.5
0,1,1,0,0,0,its as closely related as andrews original claim that evolution and entropy sarcasm,71.0,13.0,5.461538461538462
0,0,1,0,0,0,i find it ironic when vegans say they love food irony,43.0,11.0,3.909090909090909
0,0,1,0,0,0,quick rt that throwing money vine ive not seen it 30 times in the last 30 seconds sarcasm,72.0,18.0,4.0
0,0,4,0,0,0,yep keep adding me to your devops lists justsaying infosec irony,54.0,11.0,4.909090909090909
0,1,1,0,0,0,wonderful time with customer service sarcasm cant add line w loyalty plan rep couldnt even explain data plan options to me,102.0,21.0,4.857142857142857
0,1,1,0,0,0,but football sarcasm,18.0,3.0,6.0
0,0,1,0,0,0,so last month i lost my job and today my dad lost his 2015 is such a great year sarcasm,68.0,20.0,3.4
0,2,1,0,1,0,rahm has solved crime budget pension issues thus hes in frances to work on trade sarcasm,73.0,16.0,4.5625
0,1,1,0,0,0,and the heel on my shoe just broke i love when i buy expensive shoes and they dont last sarcasm,76.0,20.0,3.8
0,0,2,0,0,0,this girl cant wait to shop on michigan ave sarcasm hateshopping,54.0,11.0,4.909090909090909
0,0,1,1,0,0,that shitty feeling we all love so much sarcasm,39.0,9.0,4.333333333333333
0,4,1,0,0,0,says the person typing in shorthand and emoji irony,43.0,9.0,4.777777777777778
0,0,1,0,0,0,crowded hallways are the loneliest places irony,41.0,7.0,5.857142857142857
0,1,1,0,0,0,i remember when i lived in downtown toronto such an interesting place sarcasm,65.0,13.0,5.0
1,1,1,0,0,0,ill go for to say that sarcasm,24.0,7.0,3.4285714285714284
0,0,1,0,0,1,oh wait are you even in this episode ironic,35.0,9.0,3.888888888888889
0,1,1,0,0,0,you say via twitter irony,21.0,5.0,4.2
1,0,2,1,0,0,maybe its just me but im sure thats not six words irony typicalteacher,58.0,13.0,4.461538461538462
1,0,1,0,0,0,ironic that i just tweeted about them,31.0,7.0,4.428571428571429
0,1,1,0,0,0,but moving the coaches from 1st to 3rd and 3rd to 1st is really working out though sarcasm,73.0,18.0,4.055555555555555
0,0,1,0,0,1,i just love getting anxiety at random times its fun sarcasm,49.0,11.0,4.454545454545454
0,1,1,0,0,0,last tweet was hashtag irony,24.0,5.0,4.8
0,0,2,0,0,0,to liberals who care so much about corporations and profits ppsellsbabyparts and are funded by the united states government irony,110.0,20.0,5.5
0,2,1,1,0,0,its pretty obvious mad hes not getting credit for ghostwriting drakes verse sarcasm,71.0,13.0,5.461538461538462
0,1,1,3,0,0,should really go to sleep love catching the bus to school in the morning sarcasm,66.0,15.0,4.4
0,1,1,0,0,1,surprisingly those with brains cant use them irony,43.0,8.0,5.375
0,2,1,0,0,0,lol clicked on this and its surrounded by ads ironic,43.0,10.0,4.3
0,0,1,4,0,0,gotta let u in on what u missed out on irony,34.0,11.0,3.090909090909091
0,1,1,0,0,3,pretty sure i was hating on espn but whatever you sure showed me it burns it burns sarcasm,73.0,18.0,4.055555555555555
1,1,6,0,0,1,pencils for pencils via pencils cottonandsteel irony handmadelove etsy backtoschool,74.0,10.0,7.4
0,0,3,0,1,0,changing my band name to secrets overalls because thats the best thing ive ever thought of in my life sarcasm orisit veryserious,107.0,22.0,4.863636363636363
1,0,4,0,0,0,im preeeeetttyyy sure that respect the red light is about traffic laws bikesafety visionzero irony whatever,92.0,16.0,5.75
0,0,3,0,0,0,its really great that pointless feuding between celebs gets more attention than things that actually matter reallife bullshit sarcasm,115.0,19.0,6.052631578947368
0,1,1,0,0,0,so u support to those people who wave pakistan flag in india irony,54.0,13.0,4.153846153846154
0,0,2,0,0,1,one time for insomnia yay sarcasm,28.0,6.0,4.666666666666667
0,3,1,0,0,2,irony this family is famous because one of them got a cock in her tail oh and that murder trial,76.0,20.0,3.8
0,1,3,3,0,0,watch gypsy sisters on tlc best ever youshouldbeonit sarcasm loveyou,59.0,10.0,5.9
0,1,1,0,0,0,yeah in 86 the best celtics team of alltime won the title although led by an indiana man larry bird irony,85.0,21.0,4.0476190476190474
0,8,2,0,0,0,thought was dropping ccs but keeping irony,36.0,7.0,5.142857142857143
0,1,1,0,1,0,shows how out of touch the bbc are they had john mcternan on talking about the way forward for why they are rubbish irony,98.0,24.0,4.083333333333333
0,1,1,0,0,0,this is going to be awesome after giants games sarcasm,45.0,10.0,4.5
1,0,1,0,0,0,no big deal in forty years time everybody will be striking nuclear deals with them and opening embassies sarcasm,94.0,19.0,4.947368421052632
1,3,1,0,0,0,the party is not national but the spokesperson is national irony,54.0,11.0,4.909090909090909
0,3,1,0,0,1,because a well armed surfer could have shot that shark sarcasm,52.0,11.0,4.7272727272727275
0,0,1,0,0,0,trying to figure out how to get to ams for sail amsterdam ticket prices are only 1500 sarcasm,76.0,18.0,4.222222222222222
0,0,2,0,0,0,i am literally so sunburntand regretting not untying my bathing suit top yesterday nicetanlines sarcasm,89.0,15.0,5.933333333333334
1,0,1,0,0,0,i drove over this bridge a week ago nice to know we have a top notch rating system sarcasm,72.0,19.0,3.789473684210526
0,1,1,0,0,0,so not ironic ironic,17.0,4.0,4.25
0,1,1,0,0,2,did you see who was batting during bagwells grab lj hoes irony,51.0,12.0,4.25
0,1,1,0,0,1,hurr hurr kitchen jokes are so funny sarcasm,37.0,8.0,4.625
0,1,1,0,0,2,yes finally di was waiting for 144p sarcasm,36.0,8.0,4.5
